Store,  Rank, Revenue, NPS, Turn Time
792,754,279,1030,991
812,886,650,1013,578
759,1049,1034,834,1030
1512,397,109,829,924
50,761,717,761,528
17,343,297,598,662
1093,153,47,567,672
240,139,174,461,571
604,821,914,454,310
16,608,408,429,1005
796,1004,1017,418,963
19,103,193,414,498
206,890,935,382,908
1034,219,49,247,699
